Sample_ID,x,y,Date_BC_AD_Start,Date_BC_AD_Median,Date_BC_AD_Stop,Date_C14,C14_ages,C14_sds,MDS_C1,MDS_C2
I14172,4622547.477799519,3012427.5031897463,-4300,-3900,-3500,NA,NA,NA,0.03295,0.02066
I14167,4622547.477799519,3012427.5031897463,-4300,-3900,-3500,NA,NA,NA,0.0309,0.01984
I14175,4622547.477799519,3012427.5031897463,-4300,-3900,-3500,NA,NA,NA,0.02866,0.02106
I14170,4622547.477799519,3012427.5031897463,-4300,-3900,-3500,NA,NA,NA,0.03483,0.01465
I14169,4622547.477799519,3012427.5031897463,-4300,-3900,-3500,NA,NA,NA,0.03213,0.01961
I14168,4622547.477799519,3012427.5031897463,-4300,-3900,-3500,NA,NA,NA,0.02425,0.03334
I14174,4622547.477799519,3012427.5031897463,-4300,-3900,-3500,NA,NA,NA,0.03207,0.0143
I16122,4622547.477799519,3012427.5031897463,-4300,-3900,-3500,NA,NA,NA,0.0311,0.01788
I16121,4622547.477799519,3012427.5031897463,-4300,-3900,-3500,NA,NA,NA,0.02888,0.0223
SUC008,4189120.7707556174,1969325.8702785047,-3945,-3881,-3778,(MAMS-38301:5042±21),5042,21,0.03761,0.01751
ELT006_merged,3539914.4652525345,2204294.749930147,-3947,-3879,-3715,(MAMS-16165:5035±23),5035,23,0.02879,0.0278
I16168,4178455.458707237,1949320.2263816774,-3947,-3876,-3714,(PSUAMS-6926:5035±25),5035,25,0.04471,0.01705
I2657,3373987.3103885604,3804494.579052511,-3953,-3871,-3773,(SUERC-68701:5052±30),5052,30,0.0256,0.02255
I1665,7688964.958226774,2127724.8827763093,-3954,-3867,-3792,(Poz-81106:5070±30),5070,30,0.01552,-0.04539
I7643,3406142.7436479935,1798168.3844073538,-3951,-3867,-3713,(MAMS-16344:5040±33),5040,33,0.03602,0.02516
I1674,7688964.958226774,2127724.8827763093,-3976,-3866,-3797,(Poz-81108:5105±35),5105,35,0.00951,-0.04801
IKI024,6437856.842612185,2425331.1991061443,-3957,-3862,-3796,(MAMS-40678:5080±27),5080,27,0.03001,-0.02824
BRZ001,4587315.954162171,3034131.238554559,-3955,-3862,-3797,(MAMS-41371:5078±25),5078,25,0.03382,0.01826
I15945,4178455.458707237,1949320.2263816774,-3966,-3861,-3797,(PSUAMS-6936:5095±30),5095,30,0.0359,0.01529
I0807,4437852.512531057,3146812.0125714196,-3975,-3855,-3659,(Erl-7784:5061±62),5061,62,0.03694,0.0133
I6760_all.SG,3508475.560541357,3258774.7900425727,-3945,-3833,-3709,(OxA-17173:5023±34),5023,34,0.03169,0.02357
I1584_all,5971415.890319424,2126190.8621892342,-3945,-3802,-3660,(OxA-32776:5016±31),5016,31,0.02247,-0.02552
ART042,6751468.540112106,2159833.7206594637,-3944,-3797,-3659,(MAMS-34119:5014±29),5014,29,0.03171,-0.02801
Kvarlov5164,4692773.821314511,4302578.728530218,-3945,-3796,-3647,NA,NA,NA,0.02525,0.02142
ELT002_merged,3539914.4652525345,2204294.749930147,-3939,-3785,-3660,(MAMS-16160:5008±23),5008,23,0.033890000000000003,0.02375
I16166,4205003.610466345,1924912.936986707,-3939,-3780,-3658,(PSUAMS-6925:5005±25),5005,25,0.04222,0.01444
PN10_PN113.SG,3054579.4141778694,3495156.9422439584,-3943,-3780,-3655,(OxA-25950:5004±31),5004,31,0.03483,0.02314
PN04.SG,3054579.4141778694,3495156.9422439584,-3944,-3779,-3652,(UBA-38312:4999±48),4999,48,0.0335,0.01887
I3920,5432633.82007828,1597606.9801347093,-3937,-3772,-3657,(UCIAMS-186359:5000±25),5000,25,0.03751,-0.01719
PN05.SG,3054579.4141778694,3495156.9422439584,-3942,-3765,-3651,(UBA-38308:4992±40),4992,40,0.03187,0.02394
I15943_published,4178455.458707237,1949320.2263816774,-3934,-3763,-3656,(PSUAMS-6932:4995±25),4995,25,0.04412,0.01728
I7186,4622547.477799519,3012427.5031897463,-3931,-3755,-3655,(PSUAMS-4231:4990±25),4990,25,0.02809,0.01579
I0405,3288751.55095192,2101215.516601104,-3900,-3750,-3600,NA,NA,NA,0.03146,0.02411
I0407,3288751.55095192,2101215.516601104,-3900,-3750,-3600,NA,NA,NA,0.03201,0.02309
I0406,3288751.55095192,2101215.516601104,-3900,-3750,-3600,NA,NA,NA,0.03025,0.02576
I6762_all.SG,3531002.0081033255,3223291.4334714743,-4000,-3750,-3500,NA,NA,NA,0.0307,0.02587
KOB005,4695647.40680339,3001871.4835109096,-3930,-3749,-3654,(MAMS-45785:4986±24),4986,24,0.02419,0.01895
PN107.SG,3054579.4141778694,3495156.9422439584,-3930,-3747,-3653,(OxA-26052:4983±30),4983,30,0.02837,0.02197
I2110,5479516.882345829,2970988.661421505,-3930,-3741,-3650,(OxA-26203:4976±33),4976,33,0.02845,0.00667
I0408,3288751.55095192,2101215.516601104,-3894,-3735,-3650,(Beta-316132:4970±30),4970,30,0.03173,0.02871
I2788,5077213.736876499,2726217.008334877,-3909,-3729,-3644,(VERA-5402:4960±40),4960,40,0.02453,0.007
I3151_published,5479516.882345829,2970988.661421505,-3950,-3725,-3500,NA,NA,NA,0.02322,0.00543
I16165,4205003.610466345,1924912.936986707,-3783,-3724,-3652,(PSUAMS-6924:4960±25),4960,25,0.0395,0.01753
prs002-ALL_DATA.SG,3126514.239694584,3614603.947413004,-3783,-3712,-3648,(Beta-446171:4950±30),4950,30,0.03244,0.0208
ALX002,7494831.846484721,2639798.209141202,-3774,-3708,-3651,(MAMS-40330:4950±23),4950,23,0.02064,-0.0369
VLI006,4637202.774579036,3037813.782632078,-3775,-3708,-3650,(MAMS-41358:4949±25),4949,25,0.03731,0.01254
Tamula3,5305988.775949698,3937510.6943936115,-3886,-3707,-3640,(Poz-10826:4940±40),4940,40,-0.07608,0.02574
I7191,4622547.477799519,3012427.5031897463,-3772,-3703,-3649,(PSUAMS-3997:4945±25),4945,25,0.03348,0.02119
I1926,5479516.882345829,2970988.661421505,-3905,-3701,-3634,(Beta-432808:4890±30);(OxA-25991:4985±30),4890;4985,30;30,0.02294,0.00843
san216.SG,3526387.741020456,2185577.7507197126,-3775,-3701,-3646,(Beta-424654:4940±30),4940,30,0.02626,0.02062
prs017-ALL_DATA.SG,3126514.239694584,3614603.947413004,-3775,-3701,-3646,(Beta-446181:4940±30),4940,30,0.03312,0.01878
I2789,5077213.736876499,2726217.008334877,-3800,-3700,-3600,NA,NA,NA,0.0409,0.00836
I6750_all.SG,3503386.369992869,3174663.07417576,-3800,-3700,-3600,NA,NA,NA,0.03228,0.02346
I6751_all.SG,3503386.369992869,3174663.07417576,-3800,-3700,-3600,NA,NA,NA,0.03108,0.0248
I3005,3437244.6930977465,3212346.122826437,-3779,-3699,-3643,(OxA-34336:4934±35),4934,35,0.03655,0.02615
ART005,6751468.540112106,2159833.7206594637,-3768,-3694,-3646,(MAMS-33535:4934±27),4934,27,0.03367,-0.02747
I1565,4150448.504430187,3141429.2886266084,-4038,-3693,-3529,(KIA-45006:4950±30);(KIA-45008:4905±25);(KIA-45007:5145±30);(KIA-37507:4845±35),4950;4905;5145;4845,30;25;30;35,-0.0384,0.07486
prs012-ALL_DATA.SG,3126514.239694584,3614603.947413004,-3769,-3693,-3644,(Beta-446178:4930±30),4930,30,0.0338,0.02544
prs003-ALL_DATA.SG,3126514.239694584,3614603.947413004,-3766,-3688,-3641,(Beta-468277:4920±30),4920,30,0.02723,0.02258
prs018-ALL_DATA.SG,3126514.239694584,3614603.947413004,-3766,-3688,-3641,(Beta-446182:4920±30),4920,30,0.03238,0.02432
I2633,3532789.9808224044,4012083.1579540307,-3766,-3686,-3638,(SUERC-68634:4911±32),4911,32,0.03007,0.02645
ART039,6751468.540112106,2159833.7206594637,-3764,-3686,-3640,(MAMS-34116:4916±27),4916,27,0.02381,-0.0313
I4089,5246071.680259911,2814847.4225432435,-3763,-3685,-3640,(PSUAMS-1746:4915±25),4915,25,0.03539,0.00134
I2659,3373801.595025566,3803391.939462027,-3764,-3685,-3640,(SUERC-68702:4914±27),4914,27,0.0312,0.02632
ART004,6751468.540112106,2159833.7206594637,-3762,-3683,-3638,(MAMS-33534:4906±26),4906,26,0.02674,-0.03347
KOB002,4695647.40680339,3001871.4835109096,-3760,-3683,-3638,(MAMS-45784:4905±25),4905,25,0.02953,0.02109
c40331.SG,3051350.2817824883,1716947.3858061528,-3763,-3682,-3635,(Beta-424648:4900±30),4900,30,0.03086,0.01857
I2790_published,5077213.736876499,2726217.008334877,-3766,-3678,-3543,(Poz-82205:4890±35),4890,35,0.04491,0.00312
I2111_published,5479516.882345829,2970988.661421505,-3763,-3675,-3542,(OxA-26204:4888±32),4888,32,0.02435,0.00913
I7600,3406142.7436479935,1798168.3844073538,-4000,-3675,-3350,NA,NA,NA,0.03547,0.0225
I7193,4622547.477799519,3012427.5031897463,-3708,-3674,-3634,(PSUAMS-4234:4890±25),4890,25,0.00111,0.04257
kum6.SG,5700868.862529356,2020895.3079350113,-3771,-3667,-3533,NA,NA,NA,0.0364,-0.0203
HOL001,4627116.689109357,3018822.0855211127,-3765,-3659,-3534,(CRL-15611:4879±36),4879,36,0.03373,0.01184
I7646,3406142.7436479935,1798168.3844073538,-3709,-3653,-3539,(MAMS-16339:4880±28),4880,28,0.03272,0.02426
ASH3.SG,3112757.4722810774,3466086.0706673204,-3763,-3653,-3533,(UBA-38310:4876±34),4876,34,0.03047,0.02602
I2691,3373801.595025566,3803391.939462027,-3707,-3652,-3632,(SUERC-68704:4881±25),4881,25,0.01888,0.03305
I5359,3401805.8175461567,3233043.0483469246,-4000,-3650,-3300,NA,NA,NA,0.03464,0.02455
I5370,3374044.7004389246,3803910.184941402,-4000,-3650,-3300,NA,NA,NA,0.02456,0.02442
I5371,3374044.7004389246,3803910.184941402,-4000,-3650,-3300,NA,NA,NA,0.02574,0.0301
KOB003,4695647.40680339,3001871.4835109096,-3800,-3650,-3500,NA,NA,NA,0.03156,0.01559
KOB004,4695647.40680339,3001871.4835109096,-3800,-3650,-3500,NA,NA,NA,0.03009,0.01617
I7188,4622547.477799519,3012427.5031897463,-3703,-3649,-3635,(PSUAMS-4232:4880±20),4880,20,0.03033,0.01934
MA974.SG,5335874.589290926,4168979.0296633877,-3786,-3641,-3516,(CAMS-6266:4860±60),4860,60,-0.08036,0.01842
OSS001,7035348.700762111,2864236.8430270585,-3701,-3641,-3535,(MAMS-29813:4857±23),4857,23,0.00221,-0.03492
I2796_published,3587087.281788911,4090318.1651877337,-3706,-3639,-3529,(SUERC-69074:4856±33),4856,33,0.02818,0.02331
PN13.SG,3054579.4141778694,3495156.9422439584,-3706,-3638,-3529,(UBA-39199:4854±33),4854,33,0.03026,0.02139
I2634,3533296.2486197776,4013121.0813121116,-3705,-3636,-3528,(SUERC-68638:4851±34),4851,34,0.03217,0.02486
PB357.SG,3054571.9137044484,3487739.1513855928,-3779,-3634,-3381,(UBA-38307:4762±37);(UBA-39192:4917±40),4762;4917,37;40,0.0335,0.0208
PN112.SG,3054579.4141778694,3495156.9422439584,-3701,-3634,-3529,(OxA-25949:4845±29),4845,29,0.03233,0.02082
I7192,4622547.477799519,3012427.5031897463,-3695,-3632,-3529,(PSUAMS-3879:4840±25),4840,25,0.03209,0.01802
I6677,4588511.006418233,3055358.600635073,-3800,-3600,-3400,NA,NA,NA,0.03304,0.01471
I14176,4622547.477799519,3012427.5031897463,-3700,-3600,-3500,NA,NA,NA,0.03102,0.018
PN02.SG,3054579.4141778694,3495156.9422439584,-3705,-3593,-3519,(UBA-38313:4834±45),4834,45,0.03228,0.02289
I7189,4622547.477799519,3012427.5031897463,-3631,-3580,-3522,(PSUAMS-4233:4765±20),4765,20,0.03247,0.019
I7644,3406142.7436479935,1798168.3844073538,-3632,-3580,-3385,(MAMS-16353:4760±22),4760,22,0.03637,0.02009
CBT004,6389333.194630006,2220264.148681488,-3631,-3580,-3522,(MAMS-41628:4765±20),4765,20,0.02875,-0.02979
I7194,4622547.477799519,3012427.5031897463,-3631,-3578,-3524,(PSUAMS-4235:4770±20),4770,20,0.02919,0.01843
prs016-ALL_DATA.SG,3126514.239694584,3614603.947413004,-3649,-3577,-3528,(Beta-446180:4830±30),4830,30,0.03499,0.01727
I3033_all.SG,3311622.465766154,3271325.088019884,-3699,-3577,-3517,(UBA-32284:4819±42),4819,42,0.03391,0.01924
BRZ002,4587315.954162171,3034131.238554559,-3635,-3576,-3387,(MAMS-41372:4768±26),4768,26,0.0405,0.00786
I6761.SG,3611078.118787039,3128894.6567732682,-3650,-3575,-3500,NA,NA,NA,0.03358,0.0244
CBT014,6389333.194630006,2220264.148681488,-3635,-3575,-3385,(MAMS-41632:4767±28),4767,28,0.02573,-0.03135
CBT016,6389333.194630006,2220264.148681488,-3648,-3575,-3528,(MAMS-41634:4828±29),4828,29,0.02907,-0.02874
ANN2.SG,3088198.4727370646,3443004.3496625344,-3705,-3575,-3377,(GrA-1707:4810±60),4810,60,0.03447,0.0244
I3135,3373208.7042636154,3802722.0112653202,-3636,-3574,-3385,(PSUAMS-2068:4770±30),4770,30,0.01657,0.04072
I3068,3544720.421981199,3392605.3654351123,-3646,-3574,-3527,(UBA-29003:4820±34),4820,34,0.03046,0.02315
prs010-ALL_DATA.SG,3126514.239694584,3614603.947413004,-3638,-3574,-3518,(Beta-446176:4780±30),4780,30,0.029760000000000002,0.02649
I6746_all.SG,3437244.6930977465,3212346.122826437,-3695,-3574,-3383,(UBA-30800:4809±45),4809,45,0.03272,0.02498
I5366,3591656.9706442286,3135241.880564251,-3638,-3573,-3384,(OxA-34470:4775±34),4775,34,0.03324,0.02345
I2791_published,5077213.736876499,2726217.008334877,-3647,-3573,-3385,(Poz-82206:4800±40),4800,40,0.03786,0.00723
I2635,3532789.9808224044,4012083.1579540307,-3645,-3572,-3415,(SUERC-68639:4796±37),4796,37,0.0337,0.01966
I6747_all.SG,3544720.421981199,3392605.3654351123,-3642,-3572,-3525,(UB-29004:4808±35),4808,35,0.0349,0.02178
CBT015,6389333.194630006,2220264.148681488,-3635,-3572,-3525,(MAMS-41633:4787±28),4787,28,0.02841,-0.03032
I6755_all.SG,3521021.9271769915,3508954.2909555603,-3641,-3571,-3527,(OxA-13539:4808±32),4808,32,0.0338,0.02551
I6759.SG,3521021.9271769915,3508954.2909555603,-3639,-3571,-3527,NA,NA,NA,0.03005,0.02714
CH448.SG,3217629.85950712,3569414.581744127,-3644,-3571,-3383,(UBA-35070:4790±41),4790,41,0.03208,0.0221
IKI037,6437856.842612185,2425331.1991061443,-3631,-3568,-3380,(MAMS-40682:4748±29),4748,29,0.02647,-0.03124
I0559,4399789.37374518,3187473.5189690366,-3643,-3567,-3528,(MAMS-22818:4815±26),4815,26,0.03026,0.01676
ASH1.SG,3112757.4722810774,3466086.0706673204,-3637,-3566,-3380,(GrN-11036:4765±40),4765,40,0.0356,0.01947
I2650,3591736.096085347,4093995.3835597257,-3634,-3565,-3379,(SUERC-68642:4754±36),4754,36,0.03198,0.02472
I7601,3406142.7436479935,1798168.3844073538,-3641,-3563,-3528,(MAMS-16354:4810±22),4810,22,0.03202,0.0224
N19.SG,4926057.540211404,3316329.541396887,-3633,-3563,-3379,(Poz-71309:4750±35),4750,35,0.03733,0.00463
WET370.SG,4119684.803357809,2775281.7780033206,-3639,-3562,-3378,(LTL-18703:4764±45),4764,45,0.0296,0.01874
I6757.SG,3522011.681830974,3509689.499898141,-3640,-3561,-3377,(UBA-32285:4766±48),4766,48,0.03159,0.02407
IKI038,6437856.842612185,2425331.1991061443,-3630,-3557,-3379,(MAMS-40683:4738±26),4738,26,0.02488,-0.03421
MA975.SG,5335874.589290926,4168979.0296633877,-3644,-3555,-3375,(CAMS-6265:4770±60),4770,60,-0.07892,0.01684
prs006-ALL_DATA.SG,3126514.239694584,3614603.947413004,-3631,-3555,-3378,(Beta-446177:4740±30),4740,30,0.03276,0.02338
PB1794.SG,3054571.9137044484,3487739.1513855928,-3640,-3555,-3377,(UBA-39197:4764±54),4764,54,0.03013,0.02365
PB768.SG,3054571.9137044484,3487739.1513855928,-3637,-3541,-3375,(UBA-38309:4751±55),4751,55,0.02903,0.0232
PB443.SG,3054571.9137044484,3487739.1513855928,-3631,-3539,-3377,(UBA-38303:4739±35),4739,35,0.02885,0.02425
I0560,4399789.37374518,3187473.5189690366,-3635,-3535,-3375,(Erl-7856:4745±52),4745,52,0.02898,0.0207
CBT010,6389333.194630006,2220264.148681488,-3590,-3530,-3470,NA,NA,NA,0.0313,-0.02939
CBT011,6389333.194630006,2220264.148681488,-3590,-3530,-3470,NA,NA,NA,0.02839,-0.03191
N20.SG,4926057.540211404,3316329.541396887,-3630,-3529,-3377,(Poz-71315:4735±35),4735,35,0.02617,0.01643
BG72.SG,3198200.9029360497,3430659.7892141007,-3630,-3529,-3377,(GrN-11362:4735±35),4735,35,0.02909,0.02198
I1593,4150448.504430187,3141429.2886266084,-3957,-3523,-3342,(KIA-28845:4615±30);(KIA-37508:5055±35),4615;5055,30;35,0.00282,0.04591
I1563,4150448.504430187,3141429.2886266084,-3704,-3523,-3122,(KIA-28844:4580±30);(KIA-45011:4860±30);(KIA-45010:4730±25),4580;4860;4730,30;30;25,0.0056,0.04383
I3134,3373208.7042636154,3802722.0112653202,-3628,-3523,-3377,(PSUAMS-2155:4730±25),4730,25,0.03336,0.03011
PN03.SG,3054579.4141778694,3495156.9422439584,-3631,-3522,-3375,(UBA-38317:4732±43),4732,43,0.0319,0.02547
N18.SG,4926057.540211404,3316329.541396887,-3630,-3521,-3376,(Poz-71316:4730±35),4730,35,0.02826,0.01584
PN06.SG,3054579.4141778694,3495156.9422439584,-3631,-3521,-3375,(UBA-38311:4731±42),4731,42,0.03311,0.02527
AY2003,6817281.411998096,3081707.001807785,-3628,-3514,-3376,(OxA-16147:4726±31),4726,31,-0.07588,-0.03695
I3133,3373208.7042636154,3802722.0112653202,-3625,-3513,-3377,(PSUAMS-2154:4725±20),4725,20,0.03125,0.02545
CBT001,6389333.194630006,2220264.148681488,-3625,-3513,-3377,(MAMS-41627:4725±20),4725,20,0.03157,-0.02783
PB672.SG,3054571.9137044484,3487739.1513855928,-3631,-3502,-3361,(UBA-35067:4765±32);(UBA-39193:4636±45),4765;4636,32;45,0.0302,0.02405
DolmenAnsiao96B.SG,2754116.9866035506,2060810.4727650618,-3700,-3500,-3300,NA,NA,NA,0.02617,0.02177
I4308,3919664.3306369986,2261188.5250489637,-3600,-3500,-3400,NA,NA,NA,0.03865,0.02165
CBT003,6389333.194630006,2220264.148681488,-3600,-3500,-3400,NA,NA,NA,0.03469,-0.02881
PN16.SG,3054579.4141778694,3495156.9422439584,-3628,-3500,-3373,(UBA-39202:4719±38),4719,38,0.03095,0.01927
I3041_all.SG,3374044.7004389246,3803910.184941402,-3942,-3490,-3037,NA,NA,NA,0.02238,0.03379
I5079,4918018.783223998,2516927.8215793227,-3649,-3475,-3108,(Beta-187421:4700±90),4700,90,0.04787,-0.00116
I8568,3398223.6091223117,1805960.2561477637,-3494,-3468,-3354,(PSUAMS-4432:4615±20),4615,20,0.03111,0.02361
ART019,6751468.540112106,2159833.7206594637,-3506,-3466,-3354,(MAMS-33544:4623±24),4623,24,0.02771,-0.03404
I4110,6028715.537616784,3146182.7167555536,-3509,-3465,-3354,(PSUAMS-8926:4625±25),4625,25,-0.03295,0.00678
IKI034,6437856.842612185,2425331.1991061443,-3509,-3465,-3352,(MAMS-40680:4623±26),4623,26,0.02388,-0.03658
I6266,6671961.6336348755,2852569.3470742805,-3503,-3464,-3348,(PSUAMS-3881:4615±25),4615,25,0.00452,-0.0432
GB.SG,5347840.806217559,2724470.7816507467,-3510,-3463,-3349,(MAMS-28614:4621±28),4621,28,-0.02107,0.04692
IKI030,6437856.842612185,2425331.1991061443,-3512,-3463,-3359,(MAMS-40679:4635±26),4635,26,0.02502,-0.03251
PB2031.SG,3054571.9137044484,3487739.1513855928,-3626,-3463,-3373,(UBA-38304:4712±35),4712,35,0.03075,0.0219
ART022,6751468.540112106,2159833.7206594637,-3639,-3462,-3136,(MAMS-33546:4681±75),4681,75,0.0286,-0.03037
I2660,3373801.595025566,3803391.939462027,-3512,-3461,-3356,(SUERC-68703:4631±29),4631,29,0.02815,0.02955
I2988,3365820.9565000418,3689694.3320038263,-3514,-3457,-3362,(SUERC-68711:4645±29),4645,29,0.0362,0.02167
ANN1.SG,3088198.4727370646,3443004.3496625344,-3635,-3455,-3136,(GrA-1703:4670±70),4670,70,0.02999,0.02026
PB186.SG,3054571.9137044484,3487739.1513855928,-3515,-3455,-3358,(UBA-35072:4638±36),4638,36,0.03181,0.02357
PB581.SG,3054571.9137044484,3487739.1513855928,-3623,-3454,-3363,(UBA-38316:4679±48),4679,48,0.03179,0.02064
I2636,3591736.096085347,4093995.3835597257,-3515,-3453,-3365,(SUERC-68640:4651±33),4651,33,0.03184,0.02197
PB1327.SG,3054571.9137044484,3487739.1513855928,-3625,-3453,-3355,(UBA-39195:4667±54),4667,54,0.03047,0.0211
ARM001,7069500.068282308,2603627.0926082954,-3623,-3452,-3369,(KIA44691:4695±40),4695,40,0.00423,-0.04185
PSS4693.SG,3848407.3618901432,2843373.9044975713,-3604,-3450,-3348,(GrA-46284:4650±45),4650,45,0.03517,0.01305
PN12.SG,3054579.4141778694,3495156.9422439584,-3522,-3450,-3198,(UBA-39198:4629±41),4629,41,0.03206,0.02497
I3136,3373208.7042636154,3802722.0112653202,-3515,-3449,-3369,(PSUAMS-2069:4665±30),4665,30,0.03382,0.0234
Tamula1,5305988.775949698,3937510.6943936115,-3617,-3449,-3366,(Poz-15645:4680±40),4680,40,-0.06819,0.02552
I6268,6671961.6336348755,2852569.3470742805,-3515,-3449,-3370,(PSUAMS-3875:4665±25),4665,25,0.00884,-0.04272
I3273_published,3292666.3954922506,2248692.4043985563,-3604,-3449,-3362,(Beta-288935:4670±40),4670,40,0.02952,0.02752
I7594,3406142.7436479935,1798168.3844073538,-3515,-3447,-3371,(MAMS-16356:4670±22),4670,22,0.03354,0.01834
ARD2.SG,3115007.5541666537,3465968.4319341904,-3597,-3447,-3365,(GrN-9708:4675±35),4675,35,0.03112,0.02401
PB754.SG,3054571.9137044484,3487739.1513855928,-3521,-3447,-3140,(UBA-39196:4622±41),4622,41,0.0302,0.02523
IKI016,6437856.842612185,2425331.1991061443,-3516,-3446,-3371,(MAMS-40676:4671±22),4671,22,0.024,-0.03255
I2637,3591736.096085347,4093995.3835597257,-3621,-3445,-3371,(SUERC-68641:4697±33),4697,33,0.03415,0.02566
I6267,6671961.6336348755,2852569.3470742805,-3623,-3445,-3372,(PSUAMS-3874:4705±30),4705,30,0.00439,-0.03988
SA6001,6865227.023455938,3110461.8502259497,-3518,-3445,-3370,(MAMS-31143:4673±28),4673,28,-0.07176,-0.03821
PN07.SG,3054579.4141778694,3495156.9422439584,-3620,-3444,-3371,(UBA-35065:4697±32),4697,32,0.03349,0.02271
mid002.SG,3574936.1214039642,4075341.6994068976,-3621,-3442,-3371,(SUERC-46400:4700±30),4700,30,0.02932,0.02535
prs013-ALL_DATA.SG,3126514.239694584,3614603.947413004,-3603,-3441,-3370,(Beta-446179:4690±30),4690,30,0.03145,0.02191
TRPTN_611.SG,3646073.8829621123,3274888.1652529133,-3622,-3440,-3374,(SUERC-49835:4712±24),4712,24,0.03047,0.02447
IKI036,6437856.842612185,2425331.1991061443,-3617,-3436,-3372,(MAMS-40681:4700±26),4700,26,0.02745,-0.03079
I7272,4617778.110673852,3017057.6757968636,-3621,-3433,-3376,(PSUAMS-4239:4715±20),4715,20,0.03378,0.01574
I4949_published,3501107.5198841635,3215019.401898903,-3621,-3433,-3376,(PSUAMS-2513:4715±20),4715,20,0.03121,0.02514
CBT005,6389333.194630006,2220264.148681488,-3621,-3433,-3375,(MAMS-41629:4713±21),4713,21,0.02987,-0.02796
I7598,3406142.7436479935,1798168.3844073538,-3620,-3432,-3375,(MAMS-16346:4710±22),4710,22,0.03448,0.02014
R24.SG,4188951.2871322944,1969329.3518641726,-3599,-3428,-3373,(UCIAMS-198886:4700±20),4700,20,0.03961,0.01745
prs009-ALL_DATA.SG,3126514.239694584,3614603.947413004,-3522,-3421,-3132,(Beta-446174:4670±30);(Beta-446175:4590±30),4670;4590,30;30,0.03384,0.02197
I3137_published,3373208.7042636154,3802722.0112653202,-3800,-3400,-3000,NA,NA,NA,0.02685,0.02506
I8567,3398223.6091223117,1805960.2561477637,-3500,-3400,-3300,NA,NA,NA,0.0341,0.01976
I2605,3583344.2931874776,3207613.7046643025,-3627,-3376,-3025,(Poz-83483:4710±35);(BM-3173:4500±60),4710;4500,35;60,0.03254,0.02493
AY2001,6817281.411998096,3081707.001807785,-3622,-3369,-3019,(GIN-11811:4480±50);(OxA-16182:4698±32),4480;4698,50;32,-0.04834,-0.0396
ans005.SG,4808295.5538613945,3850755.295189156,-3624,-3367,-3104,(Ua-3785:4640±70);(Beta-432257:4580±30),4640;4580,70;30,0.02555,0.02167
ROUQCC.SG,3829319.4400904723,2296067.078910296,-3492,-3366,-3199,(UCAIMS-229423:4595±20),4595,20,0.0238,0.02174
GNM1007.SG,3050775.2953564087,3603128.9409290245,-3511,-3357,-3103,(UBA-38829:4588±40),4588,40,0.03184,0.02218
IKI017,6437856.842612185,2425331.1991061443,-3492,-3356,-3109,(MAMS-40677:4580±26),4580,26,0.02443,-0.02926
I6753_all.SG,3652133.763535369,3178733.6374647133,-3730,-3355,-2980,NA,NA,NA,0.03082,0.02691
I3023,3421285.3667954304,3295689.874017848,-3750,-3350,-2950,NA,NA,NA,0.0247,0.02007
I1720,6936646.402643844,2890036.0535147935,-3700,-3350,-3000,NA,NA,NA,0.00189,-0.03549
ART018,6751468.540112106,2159833.7206594637,-3489,-3350,-3108,(MAMS-33543:4573±25),4573,25,0.01697,-0.03594
ART032,6751468.540112106,2159833.7206594637,-3484,-3349,-3110,(MAMS-34110:4568±21),4568,21,0.0235,-0.033
ART014,6751468.540112106,2159833.7206594637,-3490,-3348,-3106,(MAMS-33540:4573±27),4573,27,0.02988,-0.02906
ART023,6751468.540112106,2159833.7206594637,-3485,-3337,-3105,(MAMS-33547:4563±25),4563,25,0.02831,-0.03363
PB675.SG,3054571.9137044484,3487739.1513855928,-3629,-3334,-2910,(UBA-35064:4394±35);(UBA-39194:4707±42),4394;4707,35;42,0.02445,0.02928
ans003.SG,4808295.5538613945,3850755.295189156,-3514,-3330,-3100,(Ua-3783:4595±65);(Beta-432256:4560±30),4595;4560,65;30,0.02233,0.01743
IKI012,6437856.842612185,2425331.1991061443,-3369,-3329,-3105,(MAMS-40675:4557±22),4557,22,0.02657,-0.03404
IV3002,6793617.220913557,3069724.758486583,-3522,-3280,-2890,(GIN-10297:4630±50);(GIN-10953:4370±70),4630;4370,50;70,-0.01916,-0.03587
I3214,3033974.1364687067,2393581.9243043466,-3400,-3250,-3100,NA,NA,NA,0.02369,0.02232
SB577A_lib.SG,3435385.4873378878,3437744.511627131,-4000,-3250,-2500,NA,NA,NA,0.02712,0.02237
ART015,6751468.540112106,2159833.7206594637,-3481,-3237,-3104,(MAMS-33541:4557±25),4557,25,0.02687,-0.03322
1H14.SG,3880858.5684421766,2878584.316302189,-3332,-3235,-3030,(UCAIMS-229433:4470±20),4470,20,0.0278,0.02245
I0519,3576547.3634948237,3290220.5914718057,-3360,-3230,-3100,NA,NA,NA,0.03194,0.02421
I0518,3576547.3634948237,3290220.5914718057,-3360,-3230,-3100,NA,NA,NA,0.03705,0.02784
1H07.SG,3880858.5684421766,2878584.316302189,-3336,-3230,-3037,(UCAIMS-229431:4480±20),4480,20,0.01809,0.02685
TGM009,4454645.66586532,3271896.021024137,-3481,-3227,-3103,(MAMS-41243:4556±26),4556,26,-0.03136,0.07038
